Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
RE405566,ABANICO MADERA CALADO ART 1939,2,ACCESORIOS,VERANO,,,PESOS,"1,200.00",120
62115,ALMOHADA DE VIAJE MICROPERLA UNICROSS 62115,907827,ACCESORIOS,VIAJE,,UNICROSS,PESOS,"9,200.00","120,00"
ACC4210,ANTEOJOS DE SOL ZZ1925 ZZ1931 ZZ1927 ZZ1928 ZZ1929,908039,ACCESORIOS,ANTEOJOS,,,PESOS,"3,000.00","120,00"
13520251218,AROMATIZANTE SPRAY - ARREBOL -,900466,ACCESORIOS,AROMATIZANTE,,ARREBOL,PESOS,"2,310.00","120,00"
190500000004,AROS STRASS X PAR,7084166983509,ACCESORIOS,ACERO,,,PESOS,250.00,"120,00"
ACC8301,ATOMIZADOR BEIYIN,908099,ACCESORIOS,ATOMIZADOR,,,PESOS,"2,300.00","120,00"
RE105126,AURICULAR A6S,909483,ACCESORIOS,AURICULAR,,,PESOS,"4,700.00","120,00"
204118,AURICULAR A6S / A7S,905389,ACCESORIOS,AURICULAR,,,PESOS,"6,300.00","120,00"
765758,AURICULAR BT VINCHA CAT EAR P47 - AUBT05,907850,ACCESORIOS,AURICULAR,,,PESOS,"4,700.00","120,00"
204109,AURICULAR INALAMBRICO E7S,905388,ACCESORIOS,AURICULAR,,,PESOS,"5,600.00","120,00"
ACC51312,AURICULAR PRO 5S ADE4604,6202412460401,ACCESORIOS,AURICULARES,,,PESOS,"6,280.00","120,00"
ACC4654,AURICULAR Y60 ADE1328,6202412132803,ACCESORIOS,AURICULARES,,,PESOS,"6,650.00","120,00"
LA008,BALANZA GRAMERA 500G,908909,ACCESORIOS,BALANZA,,,PESOS,"5,500.00","120,00"
JO007,BANDOLERA (JORGE),908466,ACCESORIOS,BANDOLERA,,JORGE,PESOS,"1,500.00","120,00"
34UC2631,BANDOLERA LA CHAPELLE 34UC2631,907748,ACCESORIOS,BANDOLERA,,LA CHAPELLE,PESOS,"15,000.00","120,00"
34UM5014,BANDOLERA LA CHAPELLE 34UM5014,907750,ACCESORIOS,BANDOLERA,,LA CHAPELLE,PESOS,"16,200.00","120,00"
294001385,BANDOLERA PORTACELULAR AMAYRA 67B9281,907317,ACCESORIOS,BANDOLERA,,,PESOS,"11,500.00","120,00"
REGCQ220031,BILLETERA AMAYRA 2 DIVISIONES 67.B907 67B907,909647,ACCESORIOS,BILLETERA,,AMAYRA,PESOS,"6,600.00","120,00"
67B916,BILLETERA AMAYRA 2 DIVISIONES 67B916 67.B916,907844,ACCESORIOS,BILLETERAS,,AMAYRA,PESOS,"5,400.00","120,00"
ACC21545445554,BILLETERA CUERO 101002,908010,ACCESORIOS,BILLETERA,,,PESOS,"4,600.00","120,00"
REGBW232012,BILLETERA DAMA AMAYRA 1 DIVISION 67B808 67.B808,909644,ACCESORIOS,BILLETERA,,AMAYRA,PESOS,"5,900.00","120,00"
ACC0005,BILLETERA DAMA PRATYS CQ-25111-3,907933,ACCESORIOS,BILLETERAS,,PRATYS,PESOS,"3,800.00","120,00"
4523115,BILLETERA DAMA TRENDY 17108,907778,ACCESORIOS,BILLETERA,,,PESOS,"4,300.00","120,00"
10B765,BILLETERA DAMA TRENDY 17119,900437,ACCESORIOS,BILLETERA,,TRENDY,PESOS,"5,300.00","120,00"
ACC852,BILLETERA FICHERO AMAYRA 2 DIVISIONES 67.B905 67B905,908100,ACCESORIOS,BILLETERA,,AMAYRA,PESOS,"6,100.00","120,00"
ACC6741389,BILLETERA HOMBRE CUERO MEDIANA (FABIAN),908074,ACCESORIOS,BILLETERAS,,,PESOS,"3,800.00","120,00"
REGJCBIL04,BILLETERA HOMBRE EVERLAST EN CAJA 278112,909651,ACCESORIOS,BILLETERA,,EVERLAST,PESOS,"9,500.00","120,00"
ACC6741390,BILLETERA HOMBRE GAMUZA,908075,ACCESORIOS,BILLETERAS,,,PESOS,"2,400.00","120,00"
ACC6741392,BILLETERA HOMBRE SQUASH 1004,714604208303,ACCESORIOS,BILLETERAS,,,PESOS,"9,500.00","120,00"
BILL1324654,BILLETERA JORGE,908175,ACCESORIOS,BILLETERAS,,,PESOS,"2,300.00","120,00"
34UC2922,BILLETERA LA CHAPELLE 34UC2922 34UC2923,907749,ACCESORIOS,BILLETERAS,,LA CHAPELLE,PESOS,"7,300.00","120,00"
ACC004,BILLETERA MATELASSE CHICA CANDY SKORA 31182,907968,ACCESORIOS,BILLETERAS,,,PESOS,1.00,"120,00"
27993,BILLETERA MUAA 27993,905870,ACCESORIOS,BILLETERAS,,MUAA,PESOS,"9,100.00","120,00"
ACC5489555,BILLETERA PIERRE CARDIN 14994,908061,ACCESORIOS,BILLETERA,,,PESOS,"8,300.00","120,00"
ACC125558,BILLETERA PIERRE CARDIN 15096,907997,ACCESORIOS,BILLETERAS,,,PESOS,"8,300.00","120,00"
ACC45877779,BILLETERA PIERRE CARDIN 15099,908050,ACCESORIOS,BILLETERA,,,PESOS,"8,300.00","120,00"
