Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,,,
J0000000000040,ABECEDARIO PARA ARMAR DE MADERA,908247,JUGUETERIA,DIDACTICOS,,SIN MARCA,PESOS,"5,700.00","120,00",,,
JUG5468700,ADORNO FLUORESCENTE EN CAJA GLOW SHOW 21020,908750,JUGUETERIA,ADORNO,,,PESOS,"2,200.00","120,00",,,
J0000000000038,AJEDREZ NUPRO JUEGO DE MESA 1020 220262,908245,JUGUETERIA,JUEGOS DE MESA,,NUPRO,PESOS,"8,373.00","120,00",,,
JUG21627,AJEDREZ SIMIL MADERA 1033 JUEGO DE MESA NUPRO,7798108221627,JUGUETERIA,JUEGOS DE MESA,,,PESOS,"11,850.00","120,00",,,
JU0001,ALAS DE MARIPOSA,908467,JUGUETERIA,DISFRAZ,,,PESOS,"2,500.00","120,00",,,
JUG23100,AMETRALLADORA 52317,908570,JUGUETERIA,ARMAS,,,PESOS,"3,100.00","120,00",,,
JUG7868,ANIMALES DE LA GRANJA BOLSA FARM SET FD15SF171,908826,JUGUETERIA,ANIMALES,,,PESOS,"4,950.00","120,00",,,
J0000000000082,ANIMALES DE LA GRANJA EN BOLSA X4U HAPPY ANIMAL WORLD BA-10565 / FARM SET 716C2,908284,JUGUETERIA,ANIMALES,,EDUCATIONAL,PESOS,"7,200.00","120,00",,,
JUG107899,ANIMALES DE LA GRANJA X6U FARM ANIMAL LYON TOYS,908515,JUGUETERIA,ANIMALES,,,PESOS,"6,200.00","120,00",,,
JUG59624,ANIMALES DE LA GRANJA X6U FARM WORLD ANIMALS 1615 59624 / MANYANIMALS FARM LINE P2604/6,908784,JUGUETERIA,ANIMALES,,,PESOS,"9,300.00","120,00",,,
JUG3223399,ANIMALES DE LA SELVA X 12 WILD ANIMAL CHT2728925,908631,JUGUETERIA,ANIMALES,,,PESOS,"8,500.00","120,00",,,
205041,ANIMALES DE LA SELVA X6U ANIMAL KINGDOM 2004,905468,JUGUETERIA,ANIMALES,,,PESOS,"6,800.00","120,00",,,
JUG87945,ANIMALES DINOSAUR WORLD ANIMAL MINI DINOSAURIO X 12 UNIDADES 17540,908845,JUGUETERIA,ANIMALES,,,PESOS,"6,200.00","120,00",,,
205576,ANIMALES FUNNY FARM SET DE GRANJA X 2 163226,905527,JUGUETERIA,ANIMALES,,,PESOS,"2,900.00","120,00",,,
JUG317128,ANTIPARRA BESTWAY +14 AÑOS (ADULTOS) 21097,908614,JUGUETERIA,VERANO,,BESTWAY,PESOS,"3,300.90","120,00",,CODIGO APLICADO,
JUG4879878,ANTIPARRA BESTWAY +3 A 6 AÑOS (INFANTIL) 21002,908707,JUGUETERIA,VERANO,,,PESOS,"2,000.00","120,00",,PRECIO ACTUALIZADO,
JUG705757,ANTIPARRA BESTWAY +7 A 14 AÑOS (INFANTIL/ADOLESCENTE) 21005 - 21048,908810,JUGUETERIA,VERANO,,BESTWAY,PESOS,"2,667.00","120,00",,AUMENTO UN 12% CON RESPECTO AL 2024,
VRNOSD20157,ANTIPARRA BL SD20157,909666,JUGUETERIA,VERANO,,,PESOS,"1,880.00","120,00",,,
JU02372,ANTIPARRA BL SD2258,908474,JUGUETERIA,VERANO,,,PESOS,980.00,"120,00",,,
JUG302240,ANTIPARRA SIRENITA 7525 - PRINCESAS 7523 - SPIDERMAN 7527,908584,JUGUETERIA,VERANO,,,PESOS,"6,500.00","120,00",,,
8881680746998,"WILD HORSE SERIES NO,044",908249,JUGUETERIA,,,BOERR,PESOS,"7,200.00","120,00",,,
J0000000000072,CASTILLOS DIDACTICOS APILABLES OLEK 75 ,7790000000751,JUGUETERIA,DIDACTICOS,,JUGAR,PESOS,"2,350.00","120,00",,,
J0000000000151,APILABLES ANILLOS DIDACTICOS 78 OLEK,7790000000782,JUGUETERIA,DIDACTICOS,,OLEK,PESOS,"1,850.00","120,00",,,
J0000000000014,APRENDIENDO INGLES – ART 315 IMPLAS,7797756003159,JUGUETERIA,DIDACTICOS,,IMPLAS,PESOS,"10,200.00","120,00",,,
JUG87999,ARCO Y FLECHA  BA-19825 AB-10614 PK3849,908848,JUGUETERIA,ARMAS,,,PESOS,"3,890.00","120,00",,,
J0000000000098,,908300,JUGUETERIA,ARMAS,,YURITI,PESOS,"1,360.00","120,00",,,
J0000000000096,ARMA 1020,908298,JUGUETERIA,ARMAS,,EL BRUJO,PESOS,"1,440.00","120,00",,,
J0000000000100,AMETRALLADORA ARMA 61299 52277,5487608387866,JUGUETERIA,ARMAS,,BECHAR,PESOS,"3,250.00","120,00",,,
J0000000000097,ARMA 864780,908299,JUGUETERIA,ARMAS,,COLORPEN,PESOS,"1,664.00","120,00",,,
J0000000000092,ARMA AET POLICIA HM951851,908294,JUGUETERIA,ARMAS,,DEERMAN,PESOS,"1,850.00","120,00",,,
J0000000000054,ARMA AMETRALLADORA MILITARY MK2928789,908258,JUGUETERIA,ARMAS,,ARVAL,PESOS,"1,860.00","120,00",,,
JUG97846545,ARMA AMETRALLADORA PP5981,908857,JUGUETERIA,ARMAS,,,PESOS,"2,320.00","120,00",,,
JUG359905,ARMA JOYA ANIMALITO SD11865Z SD15521 ZX,7990500155214,JUGUETERIA,ARMAS,,,PESOS,"6,400.00","120,00",,,
JUG359902,ARMA JOYA ANIMALITO SD15851,7990500158512,JUGUETERIA,ARMAS,,,PESOS,"3,200.00","120,00",,,
JUG307453,ARMA JOYA LOOK MANIA CAJA 12 DIVISIONES 2011 / 2013,908600,JUGUETERIA,ARMAS,,,PESOS,"6,350.00","120,00",,,
JUG6500001,ARMA JOYA TINY 52536,7450077127903,JUGUETERIA,ARMAS,,,PESOS,"1,090.00","120,00",,,
JUG6500000,ARMA JOYA TINY 53055,908789,JUGUETERIA,ARMAS,,,PESOS,"2,880.00","120,00",,,
J0000000000091,ARMA NL2020-34 10291,908293,JUGUETERIA,ARMAS,,DEERMAN,PESOS,"1,360.00","120,00",,,
J0000000000016,ARMANDO ORACIONES – ART 244,908223,JUGUETERIA,DIDACTICOS,,IMPLAS,PESOS,"2,720.00","120,00",,,
JUG312514,ARO DE BASQU,908609,JUGUETERIA,DEPORTES,,,PESOS,"10,100.00","120,00",,,
JUG311765,ARRASTRE AUTO JP0219 BABY DRIVER,7898632810103,JUGUETERIA,AUTO,,,PESOS,"7,100.00","120,00",,,
J0000000000078,ARRASTRE COCODRILO RIVA,7796784007030,JUGUETERIA,DIDACTICOS,,RIVAPLAST,PESOS,"11,908.00","120,00",,,
JU41145713,ARRASTRE DINO A CUERDA 51208,7796784007160,JUGUETERIA,DIDACTICOS,,RIVAPLAST,PESOS,"5,689.50","120,00",,,
JU02374,ARRASTRE MOZART TOYS 008 BALANCIN,908476,JUGUETERIA,DIDACTICOS,,,PESOS,"1,560.00","120,00",,,
JUG001,ARRASTRE NEW PLAST CARACOL 20131 20133  / DORITA 20133,7798025250311,JUGUETERIA,DIDACTICOS,,NEW PLAST,PESOS,"9,490.00","120,00",,,
J0000000000077,ARRASTRE SIMON 20131 20133 NEW PLAST,7798025250380,JUGUETERIA,DIDACTICOS,,NEW PLAST,PESOS,"9,490.00","120,00",,,
JUG45111,AUTO BURBUJA SUPER POWER CAR 50095,908674,JUGUETERIA,VEHICULOS,,,PESOS,"1,700.00","120,00",,,
J0000000000121,AUTO HOMBRE ARAÑA X 2 BL 54416,7453105004054,JUGUETERIA,VEHICULOS,,SIN MARCA,PESOS,"3,330.00","120,00",,,
J0000000000264,AUTO CARS GRANDE BOLSA ,908455,JUGUETERIA,VEHICULOS,,,PESOS,"3,250.00","120,00",,,
JUG2240000,AUTO COLECCION GO SPEED METAL 54646,908567,JUGUETERIA,AUTO,,,PESOS,"2,775.00","120,00",,,
J0000000000175,AUTO COLECCION METAL BL 200373,908368,JUGUETERIA,VEHICULOS,,,PESOS,"2,620.00","120,00",,,
J0000000000176,AUTO COLECCION WELLY 52020B,908369,JUGUETERIA,VEHICULOS,,,PESOS,944.00,"120,00",,,
JUG8672,AUTO COLECCION X6 UNIDADES EN VALIJA EXHIBIDORA A201042 8532,908836,JUGUETERIA,VEHICULOS,,,PESOS,"14,500.00","120,00",,,
J0000000000115,AUTO CON CONTROL SPEEDSTER 2020578,908317,JUGUETERIA,VEHICULOS,,,PESOS,"13,490.00","120,00",,,
JUG124154,AUTO CONTROL REMOTO FAST MODERN CAR 61728 50027,908533,JUGUETERIA,VEHICULOS,,,PESOS,"13,490.00","120,00",,,
JUG113,AUTO EN BLISTER X4 TOP RACE 258,908523,JUGUETERIA,VEHICULOS,,,PESOS,"2,480.00","120,00",,,
JUG16548,AUTO EN CAJA X5 EXPRESS SUPER POWER 2105,908548,JUGUETERIA,VEHICULOS,,,PESOS,800.00,"120,00",,,
JUG89787,AUTO EXPRESS X5 UNIDADES 2105,908853,JUGUETERIA,VEHICULOS,,,PESOS,880.00,"120,00",,,
J0000000000129,AUTO FORMULA UNO GRANDE F1 COD. 002,908331,JUGUETERIA,VEHICULOS,,JUGAR,PESOS,"2,024.00","120,00",,,
7798172020454,AUTO IRV TOYS CABRIOLET PARA MUÑECAS ART. 0096 PEQUITAS,908645,JUGUETERIA,AUTO,,IRV TOYS,PESOS,"10,980.00","120,00",,,
JU02366,AUTO JEEP BURBUJA SD15830,908469,JUGUETERIA,VEHICULOS,,,PESOS,"2,000.00","120,00",,,
JUG3543,AUTO MILITAR CHARIOT BURBUJA 52090,908639,JUGUETERIA,VEHICULOS,,,PESOS,"2,000.00","120,00",,,
JUG74687,AUTO MINI 64 JUGAR,7798121288164,JUGUETERIA,VEHICULOS,,,PESOS,790.00,"120,00",,,
J0000000000118,AUTO FORMULA UNO 1312 LUNI F1,7797076013128,JUGUETERIA,VEHICULOS,,IIM,PESOS,"2,500.00","120,00",,,
J0000000000117,AUTO SD22219,908319,JUGUETERIA,VEHICULOS,,BERKMA,PESOS,"1,424.00","120,00",,,
JUG111,AUTO SPEED CAR X24U 53657 14*11,908517,JUGUETERIA,VEHICULOS,,,PESOS,"4,592.00","120,00",,,
JUG1112,AUTO SPEED CAR X 15 PCS 53628 61928 ,7453077223095,JUGUETERIA,VEHICULOS,,,PESOS,"3,500.00","120,00",,,
JUG565,AUTO SPIDERMAN A FRICCION 53960,908770,JUGUETERIA,AUTO,,,PESOS,"1,960.00","120,00",,,
JUG5465,AUTO SUPER SPEED CAJA X 10UN SD8353,908745,JUGUETERIA,VEHICULOS,,,PESOS,"3,300.00","120,00",,,
