Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
294000232,BOMBACHA COLALESS JALINE ART 0060/C,906117,LENCERIA,COLALESS,,JALINE,PESOS,"2,651.40","60,00"
294000233,BOMBACHA COLALESS JALINE ART 0070/C,906118,LENCERIA,COLALESS,,JALINE,PESOS,"2,651.40","60,00"
294000234,BOMBACHA COLALESS JALINE ART 0080/C,906119,LENCERIA,COLALESS,,JALINE,PESOS,"2,338.20","60,00"
294000235,BOMBACHA COLALESS JALINE ART 0085,906120,LENCERIA,COLALESS,,JALINE,PESOS,"2,338.20","60,00"
294000236,BOMBACHA COLALESS JALINE ART 0440/C,906121,LENCERIA,COLALESS,,JALINE,PESOS,"2,338.20","60,00"
294000237,BOMBACHA COLALESS JALINE ART 0660/C,906122,LENCERIA,COLALESS,,JALINE,PESOS,"2,338.20","60,00"
294000238,BOMBACHA COLALESS JALINE ART 0880/C,906123,LENCERIA,COLALESS,,JALINE,PESOS,"2,338.20","60,00"
294000239,BOMBACHA COLALESS JALINE ART 0950/C,906124,LENCERIA,COLALESS,,JALINE,PESOS,"2,338.20","60,00"
294000241,BOMBACHA COLALESS JALINE ART 7000/1,906126,LENCERIA,COLALESS,,JALINE,PESOS,"1,801.43","60,00"
294000242,BOMBACHA COLALESS JALINE ART 7200/C,906127,LENCERIA,COLALESS,,JALINE,PESOS,"1,982.88","60,00"
294000273,BOMBACHA NENA JALINE ART 0041,906158,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,611.36","60,00"
294000274,BOMBACHA NENA JALINE ART 0042,906159,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,676.16","60,00"
294000275,BOMBACHA NENA JALINE ART 0043,906160,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,786.32","60,00"
294000276,BOMBACHA NENA JALINE ART 0044,906161,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,928.88","60,00"
294000277,BOMBACHA NENA JALINE ART 0121,906162,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,783.08","60,00"
294000278,BOMBACHA NENA JALINE ART 0122,906163,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,786.32","60,00"
294000279,BOMBACHA NENA JALINE ART 0123,906164,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,923.48","60,00"
294000280,BOMBACHA NENA JALINE ART 0124,906165,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"2,370.60","60,00"
294000281,BOMBACHA NENA JALINE ART 0221,906166,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,686.96","60,00"
294000282,BOMBACHA NENA JALINE ART 0222,906167,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,686.96","60,00"
294000283,BOMBACHA NENA JALINE ART 0223,906168,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,786.32","60,00"
294000284,BOMBACHA NENA JALINE ART 0224,906169,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,846.80","60,00"
294000285,BOMBACHA NENA JALINE ART 0224/E,906170,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,952.64","60,00"
294000286,BOMBACHA NENA JALINE ART 0225,906171,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,846.80","60,00"
294000287,BOMBACHA NENA JALINE ART 0225/E,906172,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,952.64","60,00"
294000288,BOMBACHA NENA JALINE ART 0226,906173,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"1,952.64","60,00"
294000289,BOMBACHA NENA JALINE ART 0226/E,906174,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"2,120.04","60,00"
294000290,BOMBACHA NENA JALINE ART 0227,906175,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"2,054.16","60,00"
294000291,BOMBACHA NENA JALINE ART 0227/E,906176,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"2,271.24","60,00"
294000272,BOMBACHA NENA JALINE ART 215/216/217/218/219/220,906157,LENCERIA,BOMBACHA NENA,,JALINE,PESOS,"2,268.00","60,00"
294000300,BOMBACHA TIRO CORTO JALINE ART 0062/0072,906186,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,922.48","60,00"
294000301,BOMBACHA TIRO CORTO JALINE ART 0092,906187,LENCERIA,TIRO CORTO,,JALINE,PESOS,"3,061.80","60,00"
294000302,BOMBACHA TIRO CORTO JALINE ART 0102,906188,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,969.76","60,00"
294000303,BOMBACHA TIRO CORTO JALINE ART 0202,906189,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,969.76","60,00"
294000304,BOMBACHA TIRO CORTO JALINE ART 0302,906190,LENCERIA,TIRO CORTO,,JALINE,PESOS,"3,557.52","60,00"
294000305,BOMBACHA TIRO CORTO JALINE ART 0402,906191,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,016.36","60,00"
294000306,BOMBACHA TIRO CORTO JALINE ART 0442,906192,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,829.60","60,00"
294000307,BOMBACHA TIRO CORTO JALINE ART 0502,906193,LENCERIA,TIRO CORTO,,JALINE,PESOS,"4,201.20","60,00"
294000308,BOMBACHA TIRO CORTO JALINE ART 0662/0082,906194,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,829.60","60,00"
294000309,BOMBACHA TIRO CORTO JALINE ART 0772,906195,LENCERIA,TIRO CORTO,,JALINE,PESOS,"2,829.60","60,00"
