Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Bulto,Caja / Rollo,Unidad / metro / cajita,,
294000001,ABREOJAL CHICO X1,905873,MERCERIA,ABREOJAL,MILAN,,PESOS,350.00,"120,00",BUSCAR ACA,,,,Único
294000002,ABREOJAL CHICO X10,905874,MERCERIA,ABREOJAL,MILAN,,PESOS,"3,040.00","120,00",,,,,Único
294000003,ABREOJAL GDE X1,905875,MERCERIA,ABREOJAL,MILAN,,PESOS,670.00,"120,00",,,,,Único
294000004,ABREOJAL GDE X6,905876,MERCERIA,ABREOJAL,MILAN,,PESOS,"3,500.00","120,00",,,,,Único
294000005,ABROJO 100MM,905877,MERCERIA,ABROJO,MILAN,,PESOS,"1,200.00","120,00",71973.65,,,,Único
294000006,*,905878,MERCERIA,ABROJO,MILAN,,PESOS,190.00,"120,00",65163.65,,,,Único
294000007,*,905879,MERCERIA,ABROJO,MILAN,,PESOS,240.00,"120,00",,,,,Único
294000008,*,905883,MERCERIA,ABROJO,MILAN,,PESOS,260.00,"120,00",,,,,Único
294000009,ARGOLLA PLASTICA DITEX N° 20MM X 1,905884,MERCERIA,ARGOLLA,MILAN,DITEX,PESOS,50.00,"120,00",,,,,Único
294000010,PERLA CRISTAL ROCA X TIRA,905885,MERCERIA,PERLAS,MILAN,,PESOS,"1,120.00","120,00",,,,,Único
294000011,ABROJO ADHESIVO 20MM,905886,MERCERIA,ABROJO,MILAN,,PESOS,"8,120.00","120,00",,,,,Único
294000012,ACEITE ART. LP42 LUBRICANTE 100ML,905887,MERCERIA,ACEITE,MILAN,,PESOS,"1,209.22","120,00",,,,,Único
294000013,ACEITE ART. LP42 LUBRICANTE 1L,905888,MERCERIA,ACEITE,MILAN,,PESOS,"6,100.18","120,00",,,,,Único
294000014,ACEITE ART. LP85 TRANSP. 1L,905889,MERCERIA,ACEITE,MILAN,,PESOS,"6,397.23","120,00",,,,,Único
294000015,ACEITE ART. LP85 TRANSP. 500ML,905890,MERCERIA,ACEITE,MILAN,,PESOS,"3,554.02","120,00",,,,,Único
294000016,"AGUJA BOLSERA DE 6""",905891,MERCERIA,AGUJAS,MILAN,,PESOS,170.00,"120,00",,,,,Único
294000017,AGUJA BORDADO CHINO ART. PN001 X3,905892,MERCERIA,AGUJAS,MILAN,,PESOS,"13,722.80","120,00",,,,,Único
294000018,AGUJA BORDADO CHINO ART. PN002 X1,905893,MERCERIA,AGUJAS,MILAN,,PESOS,"2,106.00","120,00",,,,,Único
294000019,AGUJA BORDAR CINTA CBX,905894,MERCERIA,AGUJAS,MILAN,,PESOS,"7,576.40","120,00",,,,,Único
294000020,AGUJA CANASTA CHICA,905895,MERCERIA,AGUJAS,MILAN,,PESOS,300.00,"120,00",,,,,Único
294000021,AGUJA CANASTA GRANDE ,905896,MERCERIA,AGUJAS,MILAN,,PESOS,365.83,"120,00",,,,,Único
294000022,AGUJA CBX TRENZA SET X6,905897,MERCERIA,AGUJAS,MILAN,,PESOS,"1,378.00","120,00",,,,,Único
294000023,AGUJA CIRCULAR Nº2,905898,MERCERIA,AGUJA CIRCULAR,MILAN,,PESOS,760.00,"120,00",,,,,Único
294000024,"AGUJA CIRCULAR Nº2,5",905899,MERCERIA,AGUJA CIRCULAR,MILAN,,PESOS,765.00,"120,00",,,,,Único
294000025,AGUJA CIRCULAR Nº3,905900,MERCERIA,AGUJA CIRCULAR,MILAN,,PESOS,835.00,"120,00",,,,,Único
