Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Venta,2024
LI6858,MOÑO CHICO ATERCIOPELADO ROJO X 6,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"2,750.00",,4950,
LI6859,MOÑO CHICO ATERCIOPELADO ROJO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,500.00,,900,
LI6918,MOÑO MEDIANO BRILLANTE PLATEADO X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,350.00",,2430,750
LI6948,MOÑO MEDIANO BRILLANTE PLATEADO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,750.00,,1350,
LI5023,MOÑO CHICO GIBRE PLATA / ROJO Y DORADO X 10,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"3,350.00",,6030,1680
LI6374,MOÑO CHICO GIBRE PLATA / ROJO Y DORADO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,500.00,,900,
LI5047,MOÑO GRANDE GIBRE ROJO X 2,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,650.00",,2970,
LI5107,MOÑO GRANDE GIBRE ROJO X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,900.00,,1620,
LI5420,ADORNO ESTRELLA DORADA X 4,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,777.78",,3200,950
LI7006,ADORNO ESTRELLA DORADA X 1,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,444.44,,800,
LI7007,ADORNO PAPA NOEL ,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,720.00,,1296,
LI455757,ADORNO PARA VIDRIO CAMPANA / BOTA,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,833.33,,1500,
LI7008,ADORNO REGALITOS X 9,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,650.00,,1170,
LI7009,ADORNO ESTRELLA FUGAZ X 3,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,388.89",,2500,
LI7010,ADORNO ANGELITO X 3,,NAVIDAD,ADORNO NAVIDEÑO,,,PESOS,"1,666.67",,3000,
