Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
ACC02589,ALICATE TRIM,907981,PERFUMERIA,UÑAS,,,PESOS,950.00,"120,00"
ACC412,ARQUEADOR DE PESTAÑAS EN BOLSA,908038,PERFUMERIA,PESTAÑAS,,,PESOS,0.00,"120,00"
ACC897,"ESPEJO NRO 6"" CON PIE DOBLE FAZ",908111,PERFUMERIA,ESPEJO,,,PESOS,1.00,"120,00"
ACC6546,CEPILLO PARA PELO BRUSHES,908069,PERFUMERIA,CEPILLO,,,PESOS,"2,300.00","120,00"
RE58787,PEINE INFANTIL TRENDY 53000B,4790010530005,PERFUMERIA,CEPILLO,,,PESOS,"2,200.00","120,00"
SZ-K52,CEPILLO PARA PELO PRATYS SZ-K52,909657,PERFUMERIA,CEPILLO,,,PESOS,"2,200.00","120,00"
510108,CEPILLO PELO CON PEINE DE BEBE EN ESTUCHE 141,907803,PERFUMERIA,CEPILLO,,,PESOS,"3,050.00","120,00"
304213,CORRECTOR DE OJERAS TEJAR,8903152,PERFUMERIA,MAQUILLAJE,,TEJAR,PESOS,700.00,"120,00"
LIB23521258,CURITA CAJA X8U,7702003010743,PERFUMERIA,CURITA,,,PESOS,420.00,"80,00"
PE886588,DELINEADOR DE OJOS LAPIZ CON SACAPUNTAS TEJAR,909396,PERFUMERIA,MAQUILLAJE,,TEJAR,PESOS,220.00,"120,00"
PE884287,DELINEADOR DE OJOS RETRACTIL TEJAR,909395,PERFUMERIA,MAQUILLAJE,,TEJAR,PESOS,280.00,"120,00"
PE456043,DELINEADOR FIBRA DE OJOS PINK 21,909390,PERFUMERIA,MAQUILLAJE,,PINK 21,PESOS,695.00,"120,00"
PE50702124,DELINEADOR LIQ. DE OJOS TEJAR,909391,PERFUMERIA,MAQUILLAJE,,TEJAR,PESOS,550.00,"120,00"
96969,ESMALTE AGOWAN,907896,PERFUMERIA,ESMALTE,,AGOWAN,PESOS,390.00,"120,00"
190500001593,ESPEJO NRO 2 REDONDO 902,902234,PERFUMERIA,ESPEJO,,,PESOS,"1,560.00","120,00"
190500001593,ESPEJO NRO 3 REDONDO 903,902233,PERFUMERIA,ESPEJO,,,PESOS,"2,290.00","120,00"
190500000703,ESPEJO NRO 4 REDONDO 904,901310,PERFUMERIA,ESPEJO,,,PESOS,"3,000.00","120,00"
ACC896,"ESPEJO NRO 5"" CON PIE DOBLE FAZ",6940350879670,PERFUMERIA,ESPEJO,,,PESOS,"2,487.00","120,00"
ACC898,"ESPEJO NRO 7"" CON PIE DOBLE FAZ",,PERFUMERIA,ESPEJO,,,PESOS,1.00,
ACC899,"ESPEJO NRO 8"" CON PIE DOBLE FAZ",7798132003725,PERFUMERIA,ESPEJO,,,PESOS,"2,821.50",
LI32654,ESPONJA DE MAQUILLAJE AF-2503 X 4 UNIDADES,6920240425033,PERFUMERIA,MAQUILLAJE,,,PESOS,"1,400.00","120,00"
ACC45578,ESPONJA DE MAQUILLAJE X 1,908046,PERFUMERIA,MAQUILLAJE,,,PESOS,800.00,"120,00"
ACC0038,FALSO DELINEADO / EYELINER STICKERS / PERFECT FASHION / DORADO,907966,PERFUMERIA,MAQUILLAJE,,,PESOS,300.00,"120,00"
ACC0009,FALSO DELINEADO DE STRASS / DELINEADO ARTISTICO / ZC-005,907937,PERFUMERIA,MAQUILLAJE,,,PESOS,700.00,"120,00"
304604,ILUMINADOR PINK21 ROLL & GLOW CS4426,6952938468251,PERFUMERIA,MAQUILLAJE,,PINK 21,PESOS,"1,100.00","120,00"
PNK21456388,LAPIZ DELINEADOR PINK 21,8903142,PERFUMERIA,MAQUILLAJE,,PINK 21,PESOS,550.00,"120,00"
PF1830100,LIMA DE UÑAS CHERIMOYA PROFESSIONAL,909400,PERFUMERIA,ACC UÑAS,,,PESOS,250.00,"120,00"
PF907300,LIMA DE UÑAS EMERY BOARDS 36 PCS,909401,PERFUMERIA,ACC UÑAS,,,PESOS,"2,550.00","120,00"
PF907301,LIMA DE UÑAS EMERY BOARDS X UNIDAD,909402,PERFUMERIA,ACC UÑAS,,,PESOS,70.00,"120,00"
PF1018816,LIMA DE UÑAS NEGRA,909398,PERFUMERIA,ACC UÑAS,,,PESOS,400.00,"120,00"
PE1781300,LIMAS DE UÑAS DE METAL CHICO CON CORRE CUTICULAS,909388,PERFUMERIA,ACC UÑAS,,,PESOS,170.00,"120,00"
12354,MOÑOS ROJOS PARA EL PELO,900449,PERFUMERIA,ACCESORIOS PELO,,,PESOS,0.00,"120,00"
47654745,PAÑUELOS DESCARTABLES,907791,PERFUMERIA,PAÑUELOS,,,PESOS,30.00,"120,00"
PE784565,PEGAMENTO PARA UÑAS POSTIZAS,909393,PERFUMERIA,ACC UÑAS,,,PESOS,400.00,"120,00"
53465755,PEINE CITY GIRL,907816,PERFUMERIA,ACCESORIOS PELO,,,PESOS,0.00,"120,00"
65474653,PEINE DE BOLSILLO TEJAR,907837,PERFUMERIA,ACCESORIOS PELO,,,PESOS,0.00,"120,00"
PE8787978,PERFILADOR DE CEJAS (BLISTER X 3),8801038123097,PERFUMERIA,MAQUILLAJE,,,PESOS,900.00,"120,00"
PER8787977,PERFILADOR DE CEJAS X UNIDAD,909397,PERFUMERIA,MAQUILLAJE,,,PESOS,400.00,"120,00"
45521,PESTAÑAS POSTIZAS,907782,PERFUMERIA,PESTAÑAS,,,PESOS,1.00,"120,00"
5437870870,PESTAÑAS POSTIZAS MAGNETICAS,907818,PERFUMERIA,PESTAÑAS,,,PESOS,1.00,"120,00"
PE354221,PINZA DEPILAR XZN 440,909389,PERFUMERIA,PINZA,,,PESOS,"1,990.00","120,00"
PF123455,POLVO DE HADAS MODASECRET / SEVENCOOL,909399,PERFUMERIA,MAQUILLAJE,,,PESOS,"2,050.00","120,00"
219468,*,905555,PERFUMERIA,POTE,,,PESOS,350.00,"120,00"
2024,QUITAESMALTE CHICO,905296,PERFUMERIA,JUEGOS DE MESA,,,PESOS,850.00,"120,00"
2023,QUITAESMALTE GRANDE,905295,PERFUMERIA,QUITAESMALTE,,,PESOS,"1,200.00","120,00"
PE6587,RUBOR X2 USHAS,909392,PERFUMERIA,MAQUILLAJE,,,PESOS,835.00,"120,00"
6952938468367,SOMBRA PARA OJOS + GLITTER X 6 4 ANGELS AR1022,6952938468367,PERFUMERIA,MAQUILLAJE,,,PESOS,"2,100.00","0,00"
PE8574,SOMBRA ROMANTIC X8 6736 611-1,909394,PERFUMERIA,MAQUILLAJE,,,PESOS,"2,850.00","120,00"
JUG10635,ST LABIAL + ESMALTE NENA,908513,PERFUMERIA,MAQUILLAJE,,,PESOS,295.00,"0,00"
