Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
204357,ADAPTADOR GTC #6 HDMI A TIPO-C,905449,REGALERIA,ADAPTADOR,,,PESOS,"10,230.00","120,00"
204132,ADAPTADOR GTC UNIVERSAL P/AUTO UAC-01 15,905395,REGALERIA,ADAPTADOR,,,PESOS,"15,750.00","120,00"
RE66874,ADORNO NAVIDAD 5247 - 5243,909545,REGALERIA,NAVIDAD,,,PESOS,"1,250.00","120,00"
205583,AMIGOS TEMBLOROSOS SHAKY 436,905534,REGALERIA,AMIGOS TEMBOLOROS,,,PESOS,"2,500.00","120,00"
REARBOL58555,ARBOL NAVIDEÑO VERDE FABESA 0.50 56010,909560,REGALERIA,NAVIDAD,,,PESOS,"3,000.00","120,00"
REARBOL5558999,ARBOL NAVIDEÑO VERDE FABESA 0.65 56020,909559,REGALERIA,NAVIDAD,,,PESOS,"3,500.00","120,00"
325235,AURICULAR AKG JBL / SAMSUNG,907740,REGALERIA,AURICULAR,,,PESOS,"1,550.00","120,00"
204502,AURICULAR GTC ANI-H04,905459,REGALERIA,AURICULAR,,,PESOS,"7,188.00","120,00"
204361,AURICULAR GTC ANI-H05,905453,REGALERIA,AURICULAR,,,PESOS,"3,880.00","120,00"
204106,AURICULAR GTC BLUETOOTH HSG-175,905387,REGALERIA,AURICULAR,,,PESOS,"6,889.00","120,00"
204097,AURICULAR GTC BLUETOOTH HSG-178,905381,REGALERIA,AURICULAR,,,PESOS,"7,153.00","120,00"
204104,AURICULAR GTC BLUETOOTH HSG-180,905385,REGALERIA,AURICULAR,,,PESOS,"4,819.00","120,00"
204103,AURICULAR GTC BLUETOOTH HSG-188,905384,REGALERIA,AURICULAR,,,PESOS,"8,108.00","120,00"
204105,AURICULAR GTC HSG-153 INTERNO TWS,905386,REGALERIA,AURICULAR,,,PESOS,"5,575.80","120,00"
204508,AURICULAR GTC HSG-157,905465,REGALERIA,AURICULAR,,,PESOS,"8,890.00","120,00"
204350,AURICULAR GTC HSG-616,905446,REGALERIA,AURICULAR,,,PESOS,"3,590.00","120,00"
204098,AURICULAR GTC INTERNO HSG-151,905382,REGALERIA,AURICULAR,,,PESOS,"1,153.20","120,00"
204102,AURICULAR GTC S-01 / 191,905383,REGALERIA,AURICULAR,,,PESOS,998.00,"120,00"
RE325654,AURICULAR IBEK BOLSA ER - 19,909515,REGALERIA,AURICULAR,,,PESOS,950.00,"120,00"
204365,AURICULAR IBEK ER - 20,905457,REGALERIA,AURICULAR,,,PESOS,"1,300.00","120,00"
REG857897,AURICULAR IGOODLO IG-6168 4*11,909631,REGALERIA,AURICULAR,,,PESOS,"1,429.00","120,00"
204500,AURICULAR INALAMBRICO TWS-07 EARPHONE WIRELESS HOMBRE ARAÑA,4820240908166,REGALERIA,AURICULAR,,,PESOS,"11,900.00","120,00"
204501,AURICULAR INALAMBRICO TWS-08 EARPHONE WIRELESS STITCH,4820240826149,REGALERIA,AURICULAR,,,PESOS,"11,900.00","120,00"
