Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Tiempo (min),Costo Mano Obra/min,Costo Insumos,Costo Internet,Costo Luz,Costo Equipo,Ganancia,Venta,Venta Final,,,,,,,,
17063,ACTUALIZACION Y TRAMITES,900555,SERVICIOS,TRAMITES,,,PESOS,2,165.46,#REF!,7.481296758,51.98566916,27.16,1.6,#REF!,600.00,,,,,,,,
17059,AMPLIACION / REDUCCION HOJA A4 B/N,900551,SERVICIOS,AMPLIACION,,,PESOS,3,248.19,#REF!,11.22194514,77.97850374,27.16,1.6,#REF!,#REF!,,,,,,,,
,AMPLIACION / REDUCCION HOJA A3 B/N,900551,SERVICIOS,AMPLIACION,,,PESOS,3,248.19,#REF!,11.22194514,77.97850374,27.16,1.6,#REF!,#REF!,,,,,,,,
17067,ANILLADO A4 1 (HASTA 85 HJS),900559,SERVICIOS,ANILLADO,,,PESOS,15,"1,240.95",#REF!,,389.8925187,,1.6,#REF!,#REF!,,,,,,,,
17081,ANILLADO A4 2 (HASTA 140 HJS),909674,SERVICIOS,ANILLADO,,,PESOS,20,"1,654.60",#REF!,,519.8566916,,1.6,#REF!,#REF!,,,,,,,,
17082,ANILLADO A4 3 (HASTA 250 HJS),909675,SERVICIOS,ANILLADO,,,PESOS,30,"2,481.90",#REF!,,779.7850374,,1.6,#REF!,#REF!,,,,,,,,
17083,ANILLADO A4 4 (HASTA 400 HJS),909676,SERVICIOS,ANILLADO,,,PESOS,40,"3,309.20",#REF!,,1039.713383,,1.6,#REF!,#REF!,,,,,,,,
17084,ANILLADO A3 1 (HASTA 85 HJS),909677,SERVICIOS,ANILLADO,,,PESOS,18,"1,489.14",#REF!,,467.8710224,,1.6,#REF!,#REF!,,,,,,,,
,ANILLADO A3 2 (HASTA 140 HJS),,,,,,,23,"1,902.79",#REF!,,597.8351953,,1.6,#REF!,#REF!,,,,,,,,
,ANILLADO A3 3 (HASTA 250 HJS),,,,,,,33,"2,730.09",#REF!,,857.7635411,,1.6,#REF!,#REF!,,,,,,,,
,ANILLADO A3 4 (HASTA 400 HJS),,,,,,,43,"3,557.39",#REF!,,1117.691887,,1.6,#REF!,#REF!,,,,,,,,
17060,ESCANEOS A4 / A3,900552,SERVICIOS,ESCANEO,,,PESOS,1.5,124.10,,5.610972569,38.98925187,68.75,1.6,400.00,,,,,,,,,
17071,FOTO 4X4 (4U) PAPEL FOTOGRAFICO 130 GR,900563,SERVICIOS,FOTO CARNET,,,PESOS,3,248.19,#REF!,11.22194514,77.97850374,275.00,1.6,#REF!,,,,,,,,,
17072,FOTO 4X4 (8U) PAPEL FOTOGRAFICO 130 GR,900564,SERVICIOS,FOTO CARNET,,,PESOS,3,248.19,#REF!,11.22194514,77.97850374,275.00,1.6,#REF!,,,,,,,,,
17053,FOTOCOPIA A4 DNI (B/N) 🏁 ,900545,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,#REF!,,,,,,,,
17054,FOTOCOPIA A4 DNI (COLOR) 🏳️‍🌈 ,900546,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,#REF!,,,,,,,,
17055,IMPRESION / FOTOCOPIA A4 (B/N) 🏁,900547,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,#REF!,#REF!,#REF!,,200,0,200,6000,6200
17138,IMPRESION / FOTOCOPIA A4 (COLOR)  🏳️‍🌈,77917345,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,600.00,#REF!,#REF!,,600,0,600,6600,
17137,IMPRESION / FOTOCOPIA A4 (COLOR)  🏳️‍🌈 +50,77917345,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,#REF!,,,,,,,,
17139,IMPRESION / FOTOCOPIA A4 (COLOR)  🏳️‍🌈 +20,77917345,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,#REF!,,,,,,,,
17140,IMPRESION / FOTOCOPIA A4 (COLOR)  🏳️‍🌈 +100,77917345,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,#REF!,,,,,,,,
17057,IMPRESION / FOTOCOPIA A3 (B/N) 🏁,900549,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,400.00,,,,,,,,
17058,IMPRESION / FOTOCOPIA A3 (COLOR) 🏳️‍🌈,900550,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,800.00,,,,,,,,8142.857143
17052,IMPRESION / FOTOCOPIA A4 (B/N) 🏁 +100,900544,SERVICIOS,FOTOCOPIA,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,160.00,,,,,,,,
