ULTIMA ACT. COSTO,PRODUCTO,COSTO,PROVEEDOR,CODIGO
28/06/2025,MORRAL CARTER CUPCAKE 52569,"6,000.00",,RE1255589
28/06/2025,BILLETERA DAMA ZAPHIR TA0005Z,"9,300.00",,REG54687897
02/07/2025,SET DE UÑAS TINY FASHION 53795,"2,900.00",,307421
02/07/2025,PEZ A CUERDA PK3757 FRICCION,"4,370.00",,304340
02/07/2025,BOLON MACAO X 10,"1,400.00",,304342
02/07/2025,MUÑECA LUCY POP C/ ACCESORIOS 54908,"6,450.00",,304561
28/06/2025,LLAVERO CINTA MOCHILERA CHICO,780.00,,ACC28546168
05/07/2025,JUEGO DE MESA YUYU MEMORIA,"4,210.00",,308729
08/07/2025,COLITA PERSONAJE FLOR / MARIPOSA X 6 24-5723,900.00,,303481
04/02/2026,VARIOS PRODUCTOS,0.00,,308476
17/07/2025,PULSERA HILO ROJA TEJIDA NUDOS,570.00,,305401
16/03/2026,ADHESIVO BARRA SIFAP LAPIZ X6 GR,"1,055.56",ESTELA MONTENEGRO S.R.L.,190500000084
17/03/2026,CUADERNO TRIUNFANTE TAPA DURA EDUC.INICIAL 1-2-3 X 42 HS,"5,166.67",ESTELA MONTENEGRO S.R.L.,190500001351
16/03/2026,MOD PODGE EQ X 100 CC,"1,500.00",REX,190500002639
12/09/2025,ILUMINADOR COMPACTO MINI TANGO BEAUTY MARIPOSA,"1,800.00",,302265
14/10/2025,HILO ALGODON CHORICERO OVILLO DE 18MT,240.00,MILAN,294001223
27/03/2026,PILA FULLTOTAL 377 / AG4 X 1,250.00,FOB,190500000551
28/06/2025,MATE AMARILLO PLASTICO ECONOMICO,280.00,,REG11000
16/03/2026,CARTERA EM POP IT CHICA,"3,222.22",ESTELA MONTENEGRO S.R.L.,204612
07/01/2026,LIBRITO SPLASH DE ACTIVIDADES ABECEDARIO,1.00,,190500002218
16/03/2026,PERFORADORA GRAP CH.583,"9,055.56",ESTELA MONTENEGRO S.R.L.,190500002895
16/03/2026,PINCEL CASAN 427 Nº2,"6,833.33",ESTELA MONTENEGRO S.R.L.,190500002945
16/03/2026,PINCEL HOBBY CHATOS N6-8 X1 7010,"1,111.11",ESTELA MONTENEGRO S.R.L.,190500002976
16/03/2026,REGLA KEYROAD X 15 CM FLEX KR970854,500.00,ESTELA MONTENEGRO S.R.L.,190500003297
16/03/2026,CUADERNO EM 14 X 10 POP IT CHICO,"2,277.78",ESTELA MONTENEGRO S.R.L.,204610
16/03/2026,SET DE BRONCE SKY COLOR MULTITASK SCC2060-B,"5,333.33",REX,301229
07/08/2025,HILO BARROCO ALGODON CIRCULO BARROCO LISO OVILLO X 200GR OVILLO,"3,865.00",,305211
07/08/2025,FLECO LUREX LAME BROOKLING ART. 312 50MM X1 MT,"2,616.00",,308286
16/08/2025,RELOJ PARED BLANCO Y NEGRO YW-5360,"9,200.00",,308296
15/08/2025,MUÑECO CONEJO CON ACCESORIO,"14,400.00",,308298
16/03/2026,TALONARIO 1028 DUPLICADO CHICO,"1,055.56",ESTELA MONTENEGRO S.R.L.,190500003947
16/03/2026,PLANNER FW COLORFULL MENSUAL 999016,388.89,ESTELA MONTENEGRO S.R.L.,202096
16/03/2026,ADHESIVO TEXTIL ETERNA X 100 ML,"5,222.22",ESTELA MONTENEGRO S.R.L.,190500000123
31/07/2025,JUEGO DE MESA CONQUISTA DEL MUNDO TOTOGAMES,"19,500.00",,JUG45200
16/03/2026,ROLLO OBRA MAUGER 57 X 40 X 1,444.44,REX,190500003549
28/06/2025,AURICULAR INALAMBRICO TWS-08 EARPHONE WIRELESS STITCH,"11,900.00",,204501
16/08/2025,RELOJ PARED BASICO EA36-05-08,"6,000.00",,300551
28/06/2025,CHALINA TRENDY 8276 - 28064,"3,900.00",,ACC3639
28/06/2025,SET MATERO DE TELA LAVABLE,"2,200.00",,BA01680323
16/03/2026,CARTUCHOS NEW JET PARA EPSON NEGRO T90,"5,222.22",ESTELA MONTENEGRO S.R.L.,204021
28/06/2025,GUARDATODO 10 DIV 2187,820.00,,479316
28/06/2025,GUARDATODO 15 DIV 2186,"1,250.00",,479315
16/03/2026,PINCELETA SINTETICA Nº3 CBX,333.33,ESTELA MONTENEGRO S.R.L.,190500003083
16/03/2026,LAPIZ NEGRO PUNTA INTERCAMBIABLE HUELLITA,666.67,ESTELA MONTENEGRO S.R.L.,LI5429
20/11/2025,FISELINA (NOVOTEC) ESTAMPADA 0.60 XMT,938.00,MILAN,294001105
20/11/2025,FISELINA (NOVOTEC) GUARDAPAMPA XMT,938.00,,294001106
20/11/2025,FISELINA (NOVOTEC) LISA GRUESA XMT,702.00,MILAN,294001108
20/11/2025,FISELINA (NOVOTEC) LUNARES XMT,736.00,MILAN,294001109
20/11/2025,FISELINA (NOVOTEC) NAVIDAD XMT,938.00,MILAN,294001111
12/09/2025,UÑAS NENA EN BLISTER YM-T001 / YM-T002,"1,500.00",,306772
25/07/2025,BROCHE MODA POINT TPBAS-048-CA / BROCHE PC 5CM CIRCULO ANIMAL PRINT,"1,350.00",,190500003803.999969482421875
16/03/2026,GOMA BORRAR SABONIS BLANCA X 1 3010M,222.22,ESTELA MONTENEGRO S.R.L.,190500001852
28/06/2025,PEN DRIVE USB 16GB SANDISCK INOVA,"7,950.00",,REG8754
28/06/2025,SET NARUTO 2016,"1,632.00",,JUG54213
20/11/2025,VASO INFANTIL CON TAPA Y SORBETE NS230235 / NS230238 - E04*24,"1,140.00",,REG00020
26/08/2025,BOLSA KRAF MAX G-4 31X33,1.00,,190500000468
26/08/2025,BROCHES CLIPS SIFAP COLOR N4 X1,1.00,,190500000558
16/03/2026,LIBRETA NORPAC NATURAL BOOK 11X 17 8100R,"1,388.89",ESTELA MONTENEGRO S.R.L.,202101
16/03/2026,PAPEL CARBONICO AZZARO / TWIN AZUL X 1 308H,500.00,ESTELA MONTENEGRO S.R.L.,190500002726
16/03/2026,RESALTADOR SABONIS FLUO REDONDO X 6 RE345FS,"1,388.89",ESTELA MONTENEGRO S.R.L.,190500003443
16/03/2026,ROLLO OBRA MAUGER 76 X 40 X 1,"2,333.33",ESTELA MONTENEGRO S.R.L.,190500003555
15/01/2026,SQUISHY ASTRONAUTA EN CAJA,"2,290.00",WINNIE,JUG754
15/01/2026,ESPUMA LOCA,"2,003.00",REX,JUG755
16/03/2026,PINCEL REXON Nº 11 AL 14 X 1,555.56,REX,190500003018
14/10/2025,AGUJA DE CROCHET PLASTICA TOTORA X UNIDAD,300.00,MILAN,294000050
11/09/2025,FORMULARIO AUTOMOTOR 11,"8,200.00",,987009
11/09/2025,BOLETO COMPRAVENTA,600.00,,987026
28/06/2025,LLAVERO POMPON,"1,800.00",,ACC154782023
20/12/2025,BOLITA MADERA 23MM X1,180.00,MILAN,294000223
20/12/2025,BOLITA MADERA 12MM X1,80.00,MILAN,294000220
20/12/2025,CINTA LUREX CORDON DE ORO 05MM X20MT,"2,790.00",MILAN,294000777
20/12/2025,CINTA LUREX CORDON DE ORO 10MM X10MT,"2,270.00",MILAN,294000779
06/09/2025,APLICADOR HOT FIX X UNIDAD SJ-1318,"25,000.00",,303202
06/09/2025,BOLSA ZIPLOC MULTIPACK X 9 BOLSAS,"2,829.00",,303185
10/09/2025,FAJA ORTOPEDICA 240MM X MT,"2,090.00",,303180
