Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Fecha Ultima Modificacion
190500003336,*,904145,PAPELERA,REPUESTO,,AMERICA,PESOS,0.00,60,04/11/2025
190500003366,*,904175,PAPELERA,REPUESTO,,LAPRIDA,PESOS,0.00,60,04/11/2025
190500003367,*,904176,PAPELERA,REPUESTO,,LAPRIDA,PESOS,0.00,60,04/11/2025
2504077,*,905734,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504078,*,905735,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504079,*,905736,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504080,*,905737,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504143,*,905806,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504144,*,905807,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504145,*,905808,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504146,*,905809,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504148,*,905811,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504149,*,905812,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504150,HOJA COLOR A4 X 1,905813,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
2504151,*,905814,PAPELERA,RESMA,,BOREAL,PESOS,1.00,60,04/11/2025
190500003331,* USAR EN PAPELERA,904140,PAPELERA,,,1810,PESOS,1.00,60,04/11/2025
190500003484,* USAR EN PAPELERA,904293,PAPELERA,RESMA,,PAMPA,PESOS,1.00,60,04/11/2025
2504064,HOJA SUELTA OFICIO X 1,905721,PAPELERA,RESMA,,,PESOS,20.79,120,03/11/2025
2504065,HOJA SUELTA A4 X 1,905722,PAPELERA,RESMA,,ECLIPSE,PESOS,11.41,120,03/11/2025
2504081,* USAR EN PAPELERA,905738,PAPELERA,PAPEL OPALINA,MULTIPAPEL,,PESOS,1.00,60,04/11/2025
2504141,* USAR EN PAPELERA,905802,PAPELERA,RESMA,PAPELERA CUMBRE,PAMPA,PESOS,1.00,60,04/11/2025
25041411,* USAR EN PAPELERA,905803,PAPELERA,RESMA,,PAMPA,PESOS,1.00,60,04/11/2025
2504142,* USAR EN PAPELERA,905804,PAPELERA,RESMA,,PAMPA,PESOS,1.00,60,04/11/2025
2504147,* USAR EN PAPELERA,905810,PAPELERA,RESMA,,,PESOS,1.00,60,04/11/2025
309010,* USAR EN PAPELERA,907735,PAPELERA,RESMA,,,PESOS,1.00,60,04/11/2025
309011,* USAR EN PAPELERA,907736,PAPELERA,RESMA,,,PESOS,1.00,60,04/11/2025
25040011,PAPEL AUTOADHESIVO ILUSTRACION A3 (COUCHE) PQ. X 100 HJS,905650,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,"27,625.00",60,03/12/2025
25040021,PAPEL AUTOADHESIVO ILUSTRACION A3 (COUCHE) X HOJA,905652,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,375.00,60,04/11/2025
2504001,PAPEL AUTOADHESIVO ILUSTRACION A4 (COUCHE) PQ. X 200 HJS,905649,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,"26,625.00",60,04/11/2025
2504002,PAPEL AUTOADHESIVO ILUSTRACION A4 (COUCHE) X HOJA,905651,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,156.25,60,04/11/2025
25040071,PAPEL AUTOADHESIVO OBRA A3 (FOSCO) PQ. X 200 HJS,905658,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,"56,500.00",60,04/11/2025
25040081,PAPEL AUTOADHESIVO OBRA A3 (FOSCO) X HOJA,905660,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,312.50,60,04/11/2025
2504007,PAPEL AUTOADHESIVO OBRA A4 (FOSCO) PQ. X 200 HJS,905657,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,"29,312.50",60,04/11/2025
2504008,PAPEL AUTOADHESIVO OBRA A4 (FOSCO) X HOJA,905659,PAPELERA,PAPEL AUTOADHESIVO,PAPELERA CUMBRE,,PESOS,187.50,60,04/11/2025
2504003,AUTOADHESIVOS ILUSTRACION 210X290MM PQ. 50 HJS (MP),905653,PAPELERA,PAPEL AUTOADHESIVO,MULTIPAPEL,,PESOS,"13,000.00",60,4/11/2025
2504004,AUTOADHESIVOS ILUSTRACION 210X290MM X HOJA (MP),905654,PAPELERA,PAPEL AUTOADHESIVO,MULTIPAPEL,,PESOS,280.00,60,04/11/2025
