Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
SE3651,CAMBIO DE ALMOHADILLA,909656,SELLOS,CAMBIO ALMOHADILLA,,,PESOS,"2,600.00","0,00"
2405050,SELLO ALMOH. IBI NRO 1 S/T 98X142MM,905631,SELLOS,SELLO,UTILCENTER,,PESOS,"4,700.00","25,00"
2405051,SELLO ALMOH. IBI NRO 2 S/T 82X122MM,905632,SELLOS,SELLO,UTILCENTER,,PESOS,"3,400.00","25,00"
2405052,SELLO ALMOH. IBI NRO 3 S/T 68X100MM,905633,SELLOS,SELLO,UTILCENTER,,PESOS,"2,600.00","25,00"
2405053,SELLO ALMOH. IBI SEÑO 40X40MM,905634,SELLOS,SELLO,UTILCENTER,,PESOS,800.00,"25,00"
2405037,SELLO CAMBIO DE GOMA 10X27MM,905618,SELLOS,SELLO,UTILCENTER,,PESOS,"3,300.00","25,00"
2405038,SELLO CAMBIO DE GOMA 14X38MM,905619,SELLOS,SELLO,UTILCENTER,,PESOS,"4,300.00","25,00"
2405028,SELLO ESCOLAR AUT. VERTICAL 14X38MM,905611,SELLOS,SELLO,UTILCENTER,,PESOS,"10,300.00","25,00"
2405027,SELLO ESCOLAR AUT. “MATE” CARCASA COLOR+TINTA NEGRA/COLOR 9X26MM,905610,SELLOS,SELLO,UTILCENTER,,PESOS,"7,200.00","25,00"
2405047,SELLO FECHADOR 3MM,905628,SELLOS,SELLO,UTILCENTER,,PESOS,"3,200.00","25,00"
2405048,SELLO FECHADOR 4MM,905629,SELLOS,SELLO,UTILCENTER,,PESOS,"3,400.00","25,00"
2405049,SELLO FECHADOR 5MM,905630,SELLOS,SELLO,UTILCENTER,,PESOS,"3,700.00","25,00"
106,SELLO MADERA,900434,SELLOS,SELLO,,,PESOS,0.00,"25,00"
2405040,SELLO MADERA HASTA 12CM²,905621,SELLOS,SELLO,UTILCENTER,,PESOS,"7,000.00","25,00"
2405041,SELLO MADERA HASTA 18CM²,905622,SELLOS,SELLO,UTILCENTER,,PESOS,"8,500.00","25,00"
2405042,SELLO MADERA HASTA 30CM²,905623,SELLOS,SELLO,UTILCENTER,,PESOS,"11,500.00","25,00"
2405043,SELLO MADERA HASTA 3CM²,905624,SELLOS,SELLO,UTILCENTER,,PESOS,"3,700.00","25,00"
2405039,SELLO MADERA HASTA 6CM²,905620,SELLOS,SELLO,UTILCENTER,,PESOS,"5,300.00","25,00"
2405045,SELLO MADERA OVALADO HASTA 12CM²,905626,SELLOS,SELLO,UTILCENTER,,PESOS,"9,000.00","25,00"
2405046,SELLO MADERA OVALADO HASTA 18CM²,905627,SELLOS,SELLO,UTILCENTER,,PESOS,"11,700.00","25,00"
2405044,SELLO NUMERADOR 6 BANDAS 4MM,905625,SELLOS,SELLO,UTILCENTER,,PESOS,"3,200.00","25,00"
2405005,SELLO NUMERADOR 6 BANDAS 5MM,905588,SELLOS,SELLO,UTILCENTER,,PESOS,"3,400.00","25,00"
2405002,SELLO PROFESSIONAL SEAL 2000 9X26MM,905585,SELLOS,SELLO,UTILCENTER,,PESOS,"7,000.00","25,00"
2405036,SELLO PROFESSIONAL SEAL POCK 18X47MM,905617,SELLOS,SELLO,UTILCENTER,,PESOS,"10,500.00","25,00"
2405062,SELLO REPUESTO ALMOHADILLA PROFESSIONAL 2000/2001,905641,SELLOS,SELLO,UTILCENTER,,PESOS,"3,400.00","25,00"
2405060,SELLO REPUESTO ALMOHADILLA SHINY 821/841,905639,SELLOS,SELLO,UTILCENTER,,PESOS,"4,300.00","25,00"
2405061,SELLO REPUESTO ALMOHADILLA SHINY 822/842,905640,SELLOS,SELLO,UTILCENTER,,PESOS,"4,300.00","25,00"
2405031,SELLO SEÑO MADERA KIT X 12 +2 ALM DE REGALO 30X30MM,905614,SELLOS,SELLO,UTILCENTER,,PESOS,"17,900.00","25,00"
2405032,SELLO SEÑO MADERA KIT X 16 +2 ALM DE REGALO 31X30MM,905615,SELLOS,SELLO,UTILCENTER,,PESOS,"23,100.00","25,00"
2405029,SELLO SEÑO MADERA KIT X 3 A ELECCION 30X30MM,905612,SELLOS,SELLO,UTILCENTER,,PESOS,"5,300.00","25,00"
2405030,SELLO SEÑO MADERA KIT X 6 +1 ALM. DE REGALO 30X30MM,905613,SELLOS,SELLO,UTILCENTER,,PESOS,"9,900.00","25,00"
2405022,SELLO SHINY R-524 CUADRADO 24X24MM,905605,SELLOS,SELLO,UTILCENTER,,PESOS,"19,600.00","25,00"
2405024,SELLO SHINY R-532 D REDONDO FECH 32MM,905607,SELLOS,SELLO,UTILCENTER,,PESOS,"29,400.00","25,00"
2405023,SELLO SHINY R-532 REDONDO 32MM,905606,SELLOS,SELLO,UTILCENTER,,PESOS,"22,900.00","25,00"
2405026,SELLO SHINY R-542 D REDONDO FECH 42MM,905609,SELLOS,SELLO,UTILCENTER,,PESOS,"38,900.00","25,00"
2405025,SELLO SHINY R-542 REDONDO 42MM,905608,SELLOS,SELLO,UTILCENTER,,PESOS,"38,900.00","25,00"
2405020,SELLO SHINY S-542 CUADRADO 42X42MM,905603,SELLOS,SELLO,UTILCENTER,,PESOS,"34,100.00","25,00"
2405021,SELLO SHINY S-542 D CUADRADO FECH 42X42MM,905604,SELLOS,SELLO,UTILCENTER,,PESOS,"44,000.00","25,00"
2405019,SELLO SHINY S-722 HANDY STAMP 15X41MM,905602,SELLOS,SELLO,UTILCENTER,,PESOS,"12,700.00","25,00"
2405011,SELLO SHINY S-826 21X41MM,905594,SELLOS,SELLO,UTILCENTER,,PESOS,"24,400.00","25,00"
2405012,SELLO SHINY S-826 D FECH 21X41MM,905595,SELLOS,SELLO,UTILCENTER,,PESOS,"36,500.00","25,00"
2405013,SELLO SHINY S-827 30X50MM,905596,SELLOS,SELLO,UTILCENTER,,PESOS,"31,500.00","25,00"
2405014,SELLO SHINY S-827 D FECH 30X50MM,905597,SELLOS,SELLO,UTILCENTER,,PESOS,"40,600.00","25,00"
2405015,SELLO SHINY S-828 33X56,905598,SELLOS,SELLO,UTILCENTER,,PESOS,"33,900.00","25,00"
2405016,SELLO SHINY S-828D FECH 33X56,905599,SELLOS,SELLO,UTILCENTER,,PESOS,"44,900.00","25,00"
2405017,SELLO SHINY S-829 40X60MM,905600,SELLOS,SELLO,UTILCENTER,,PESOS,"39,200.00","25,00"
2405018,SELLO SHINY S-829 D FECH 40X60MM,905601,SELLOS,SELLO,UTILCENTER,,PESOS,"49,200.00","25,00"
2405001,SELLO SHINY S-841 9X26MM,905584,SELLOS,SELLO,UTILCENTER,,PESOS,"1,200.00","25,00"
2405004,SELLO SHINY S-842 14X38MM,905587,SELLOS,SELLO,UTILCENTER,,PESOS,"11,500.00","25,00"
2405008,SELLO SHINY S-843 18X47MM,905591,SELLOS,SELLO,UTILCENTER,,PESOS,"14,700.00","25,00"
2405009,SELLO SHINY S-844 22X58MM,905592,SELLOS,SELLO,UTILCENTER,,PESOS,"18,300.00","25,00"
2405010,SELLO SHINY S-845 25X70,905593,SELLOS,SELLO,UTILCENTER,,PESOS,"19,800.00","25,00"
2405059,SELLO TINTA 999 30ML OPALO PAPEL,905638,SELLOS,SELLO,UTILCENTER,,PESOS,"2,200.00","25,00"
2405058,SELLO TINTA H-33 30ML ESP. SECADO RAPIDO N-A-R,905637,SELLOS,SELLO,UTILCENTER,,PESOS,"3,100.00","25,00"
2405057,SELLO TINTA SHINY S-61 28ML ESP. P/AUT N,905636,SELLOS,SELLO,UTILCENTER,,PESOS,"6,600.00","25,00"
2405056,SELLO TINTA TRODAT 7011 28ML ESP. P/AUT N-A-R-VE-VIO,905635,SELLOS,SELLO,UTILCENTER,,PESOS,"8,400.00","25,00"
2405007,SELLO TRODAT 3911 14X38MM,905590,SELLOS,SELLO,UTILCENTER,,PESOS,"10,300.00","25,00"
2405003,SELLO TRODAT 4910 4.0 9X26MM,905586,SELLOS,SELLO,UTILCENTER,,PESOS,"17,300.00","25,00"
2405006,SELLO TRODAT 4911 4.0 15X38MM,905589,SELLOS,SELLO,UTILCENTER,,PESOS,"17,300.00","25,00"
2405034,SELLO TRODAT 9511 PRINTY STAMP 14X38MM,905616,SELLOS,SELLO,UTILCENTER,,PESOS,"16,800.00","25,00"
